full	word_form	original_word_form	complete_word_form_adjusted	ja	reference	first_part	several_hits	country_corpus	speakers_nasjonality 	comments	sentence	free_standing	type_comment	obligatory	discourse_marker	sentence_position	clause_position	position	with_conjunction	conjunction	comma	in_total	listing	nachfolgend_komplett	with_pronoun	negation	continuation_declarative_sentence	wie_xzy_ist/sind	EH-type	beischeid_wissen	xzy_besser_wissen	genauso_wissen	alles_wissen	xzy_sowieso_wissen	schon_wissen	zuviel_wissen	selber_wissen			
"""Meiner Seel', Strolchi, du weißt ja eh, wie Kinder sind. Mein Westi ist halt naturgemäß ein bisserl allergisch gegen alles, was ,Ost` heißt, aber er meint's im Grunde gut."" "	weisst eh	weißt ja eh	weibt ja eh	0	"X00/SEP.34299 Oberösterreichische Nachrichten, 02.09.2000, Ressort: Leben heute; Wetterleuchten 7 "	X00 		AT			Meiner Seel', Strolchi, du weißt ja eh, wie Kinder sind. 	0	eingebettet	1	0				0		0				1		wie	1		0	0	0	0	0	0	0	0	0		
Du weißt ja eh, was ich meine	weisst eh	weißt ja eh	weibt ja eh	0	"P23/JUL.00017 Die Presse, 01.07.2023, S. 53; Du weißt ja eh, was ich meine "	P23		AT			Du weißt ja eh, was ich meine	0	eingebettet	1	0				0		0				1		was	0		0	0	0	0	0	0	0	0	0		
So charmiert sie in ihrem alt-österreichischen Mezzosopran: «Gloggerl! Weisst ja eh alles über mich! Mach schnell! Muss morgen nach New York. Neues Buch vorstellen!»	weisst eh	weißt ja eh	weibt ja eh	0	"SBL10/DEZ.00045 Sonntagsblick, 05.12.2010, S. m40; Die Foto-Fürstin und ihre Gäste "	SBL10		CH	AT?		Weisst ja eh alles über mich! 	0	eingebettet	1	0				0		0				0		0	0		0	0	0	1	0	0	0	0	0		
Aber du weisst ja eh alles besser. Und tschüss. 	weisst eh	weisst ja eh	weisst ja eh	1	NGAFH/B14.00787 Re: FW400/IEEE1394a Kabel übrig, In: de.comp.tv+video, Usenet 27.5.2014	NGAFH		DE			Aber du weisst ja eh alles besser. 	0	eingebettet	1	0				1	aber	0				1		0	0		0	1	0	0	0	0	0	0	0		
"Ich bin kein Sprayer, der sich auf Betonköpfen verewigen muß. Auch will ich dich von nichts überzeugen. (Du weisst ja eh schon alles selber am besten;) Nur Bescheidenheit möchte ich dir nahebringen, deine Meinung als deine Meinung (und nicht mehr) zu betrachten. "	weisst eh	weisst ja eh	weisst ja eh	0	NGFAH/B14.06049 Re: Wie Helmpropaganda im privaten Umfeld funktioniert, In: de.rec.fahrrad, Usenet 28.1.2014 	NGFAH		DE			Du weisst ja eh schon alles selber am besten	0	eingebettet	1	0				0		0				1		0	0		0	1	0	0	0	0	0	0	0		
Also für dich istz schleichende Verseuchung mit Radioaktivität die nicht  Ländergrenzen überschreitet quasi unschädlich bzw. nicht existent! Du  musst schon verdammt merkbefreit sein um dich dermassen als ignorantes  Arschloch zu geben. Frag doch mal die Leutz die in der Nähe der  Wiederaufbereitungsanlage Windscale, jetzt Sellafield wohnen.... aber du  weisst ja eh immer alles besser. theo 	weisst eh	weisst ja eh	weisst ja eh	0	NGHAU/B14.06680 Re: Gesund in den Herbst!, In: de.etc.haushalt, Usenet 15.11.2014 	NGHAU		DE			.... aber du  weisst ja eh immer alles besser	0	eingebettet	1	0				1	aber	0				1		0	0		0	1	0	0	0	0	0	0	0		
Die fehlerhaften Mietspiegel sind reihenweise gekippt worden, kannste  nachlesen wenne willst... aber du weisst ja eh alles besser... 	weisst eh	weisst ja eh	weisst ja eh	0	NGSEN/B15.13058 Re: Mindestlohn, In: de.soc.senioren, Usenet 31.1.2015 	NGSEN		DE			... aber du weisst ja eh alles besser... 	0	eingebettet	1	0				1	aber	0				1		0	0		0	1	0	0	0	0	0	0	0		
Freise: «Ja, der Sohn war der Auslöser. Er brauchte eine neue Grafikkarte für seinen Computer und hat mit allen Tricks versucht, mich ins Fernsehen zu kriegen - nach dem Motto: Du weißt ja eh alles, dann kannst du damit auch für die Familie Geld verdienen. Davon war ich gar nicht begeistert. Andererseits sollte er damals in Shakespeares «Sommernachtstraum» auf der Bühne stehen und Latein reden. Das war eine ziemliche Zumutung für ihn, und dann haben wir einen Deal gemacht: Ich gehe ins Fernsehen und er stellt sich auf die Bühne. Ihm war das sehr peinlich. 	weisst eh	weißt ja eh	weibt ja eh	0	dpa 	DPA12	II	DE			Du weißt ja eh alles, dann kannst du damit auch für die Familie Geld verdienen.	0	eingebettet	1	0				0		0				1		0	0		0	0	0	1	0	0	0	0	0		
Wien (dpa) - Ewig gestriges Jörg-Haider-Land, so korrupt wie einfältig und fest in der Hand der Rechten: Kärnten hat in weiten Teilen Österreichs ein ziemlich schlechtes Image. Auch der erste «Tatort» aus Österreichs südlichstem Bundesland kommt daran nicht vorbei. «Einem BKA-Beamten wird in den Kopf geschossen - grad' in Kärnten. Du weißt ja eh, dass da unten alles ein Politikum ist», schimpft Moritz Eisners (Harald Krassnitzer) Chef Ernst Rauter (Hubert Kramar) angesichts seines schwerverletzten Chefinspektors. «Das nächste Mal such' ich mir ein anderes Bundesland aus», antwortet dieser trotzig. 	weisst eh	weißt ja eh	weibt ja eh	0	dpa 	DPA13	III	DE	AT		Du weißt ja eh, dass da unten alles ein Politikum ist	0	eingebettet	1	0				0		0				1		dass	0		0	0	0	0	0	0	0	0	0		
Weil du zwei Namen genannt hast damit das überhaupt ein Vorteil werden kann. Du hast Landeshauptmann Pröll und die zuständige Landesrätin Mikl-Leitner genannt. Da kann es nie ein Vorteil werden. Das kann nur den Bach hinunter gehen. Das kann nur den Bach hinunter gehen. Diese zwei genannten Personen haben doch für das Bundesland überhaupt noch nie was Gescheites zusammengebracht. Das weißt ja eh selber genauso. Wie sollte dann da in diesem Bereich, wie sollte da in diesem Bereich das anders ausschauen? 	weisst eh	weißt ja eh	weibt ja eh	0	Sitzungsbericht der 14. Sitzung der Tagung 2004 der XVI. Gesetzgebungsperiode des Landtages von Niederösterreich.	PNO		DE	AT		Das weißt ja eh selber genauso. 	0	eingebettet	1	0				1		0				0		0	0		0	0	1	0	0	0	0	0	0		
